iter	Passed	Remaining
1119	29830	23438
1120	29856	23411
1121	29872	23376
1122	29895	23346
1123	29920	23318
1124	29946	23291
1125	29973	23265
1126	30000	23239
1127	30021	23207
1128	30050	23182
1129	30076	23156
1130	30101	23128
1131	30129	23102
1132	30152	23073
1133	30179	23047
1134	30203	23018
1135	30228	22990
1136	30256	22965
1137	30283	22938
1138	30311	22913
1139	30337	22886
1140	30363	22858
1141	30387	22830
1142	30408	22799
1143	30432	22771
1144	30460	22745
1145	30483	22716
1146	30509	22689
1147	30536	22663
1148	30561	22634
1149	30589	22609
1150	30618	22584
1151	30644	22557
1152	30668	22529
1153	30692	22501
1154	30724	22477
1155	30749	22450
1156	30772	22421
1157	30798	22394
1158	30826	22368
1159	30854	22343
1160	30883	22317
1161	30910	22291
1162	30935	22263
1163	30959	22235
1164	30986	22209
1165	31000	22173
1166	31025	22146
1167	31056	22122
1168	31082	22095
1169	31101	22063
1170	31127	22036
1171	31152	22008
1172	31184	21986
1173	31213	21961
1174	31239	21933
1175	31262	21904
1176	31282	21873
1177	31305	21844
1178	31332	21818
1179	31354	21788
1180	31379	21761
1181	31405	21734
1182	31433	21708
1183	31458	21681
1184	31465	21641
1185	31489	21612
1186	31516	21586
1187	31543	21560
1188	31563	21528
1189	31586	21500
1190	31612	21472
1191	31638	21445
1192	31666	21420
1193	31690	21392
1194	31716	21365
1195	31744	21340
1196	31769	21312
1197	31803	21290
1198	31826	21261
1199	31850	21233
1200	31877	21207
1201	31903	21180
1202	31929	21153
1203	31954	21125
1204	31982	21100
1205	32010	21074
1206	32039	21050
1207	32062	21021
1208	32090	20995
1209	32125	20974
1210	32154	20949
1211	32178	20921
1212	32194	20888
1213	32225	20864
1214	32251	20837
1215	32275	20808
1216	32301	20782
1217	32329	20756
1218	32351	20727
1219	32374	20698
1220	32397	20669
1221	32424	20643
1222	32448	20615
1223	32474	20588
1224	32500	20561
1225	32524	20533
1226	32551	20507
1227	32579	20481
1228	32606	20455
1229	32620	20421
1230	32646	20393
1231	32671	20366
1232	32700	20341
1233	32726	20314
1234	32752	20287
1235	32779	20261
1236	32803	20233
1237	32829	20206
1238	32853	20178
1239	32862	20141
1240	32889	20115
1241	32920	20091
1242	32942	20062
1243	32969	20036
1244	32995	20009
1245	33023	19983
1246	33050	19957
1247	33087	19937
1248	33151	19933
1249	33223	19933
1250	33283	19927
1251	33328	19911
1252	33387	19904
1253	33436	19891
1254	33464	19865
1255	33489	19837
1256	33517	19811
1257	33542	19784
1258	33569	19757
1259	33595	19730
1260	33623	19704
1261	33655	19681
1262	33681	19654
1263	33706	19626
1264	33732	19599
1265	33758	19572
1266	33785	19546
1267	33808	19517
1268	33837	19491
1269	33861	19463
1270	33892	19439
1271	33919	19413
1272	33946	19386
1273	33962	19353
1274	33980	19322
1275	34006	19295
1276	34030	19267
1277	34058	19241
1278	34084	19214
1279	34110	19187
1280	34136	19160
1281	34157	19130
1282	34182	19102
1283	34201	19071
1284	34221	19041
1285	34247	19014
1286	34276	18989
1287	34305	18963
1288	34334	18938
1289	34363	18913
1290	34386	18884
1291	34412	18857
1292	34441	18832
1293	34458	18800
1294	34482	18772
1295	34488	18734
1296	34511	18705
1297	34538	18679
1298	34566	18653
1299	34590	18625
1300	34618	18599
1301	34634	18567
1302	34659	18540
1303	34684	18512
1304	34708	18484
1305	34734	18457
1306	34750	18425
1307	34774	18397
1308	34806	18374
1309	34837	18349
1310	34866	18324
1311	34896	18299
1312	34917	18269
1313	34936	18239
1314	34952	18207
1315	34968	18175
1316	34989	18145
1317	35005	18113
1318	35032	18087
1319	35052	18057
1320	35082	18032
1321	35111	18007
1322	35140	17981
1323	35171	17957
1324	35198	17931
1325	35214	17899
1326	35240	17872
1327	35245	17835
1328	35274	17809
1329	35301	17783
1330	35327	17756
1331	35350	17728
1332	35374	17700
1333	35388	17667
1334	35412	17640
1335	35438	17613
1336	35461	17584
1337	35488	17558
1338	35515	17532
1339	35536	17502
1340	35558	17474
1341	35586	17448
1342	35607	17419
1343	35633	17392
1344	35654	17363
1345	35667	17330
1346	35693	17303
1347	35721	17277
1348	35746	17250
1349	35773	17224
1350	35800	17198
1351	35822	17169
1352	35852	17144
1353	35876	17116
1354	35905	17091
1355	35931	17064
1356	35959	17039
1357	35985	17012
1358	36010	16984
1359	36036	16958
1360	36066	16933
1361	36092	16906
1362	36117	16879
1363	36143	16852
1364	36171	16826
1365	36201	16802
1366	36230	16776
1367	36256	16750
1368	36281	16723
1369	36307	16696
1370	36328	16667
1371	36354	16640
1372	36383	16615
1373	36411	16589
1374	36438	16562
1375	36461	16534
1376	36487	16508
1377	36514	16481
1378	36541	16455
1379	36562	16426
1380	36584	16398
1381	36606	16369
1382	36632	16342
1383	36659	16316
1384	36684	16289
1385	36708	16261
1386	36734	16235
1387	36759	16207
1388	36784	16180
1389	36809	16153
1390	36837	16128
1391	36863	16101
1392	36894	16076
1393	36919	16049
1394	36945	16022
1395	36971	15996
1396	36997	15969
1397	37023	15942
1398	37050	15916
1399	37070	15887
1400	37096	15860
1401	37124	15834
1402	37148	15807
1403	37175	15781
1404	37199	15753
1405	37228	15728
1406	37255	15701
1407	37283	15675
1408	37311	15650
1409	37337	15623
1410	37364	15597
1411	37388	15569
1412	37413	15542
1413	37437	15514
1414	37463	15488
1415	37486	15460
1416	37507	15431
1417	37530	15403
1418	37557	15377
1419	37584	15351
1420	37622	15329
1421	37651	15304
1422	37678	15277
1423	37706	15251
1424	37734	15226
1425	37766	15201
1426	37793	15175
1427	37815	15147
1428	37842	15121
1429	37871	15095
1430	37894	15067
1431	37923	15042
1432	37944	15013
1433	37967	14985
1434	37995	14959
1435	38026	14935
1436	38056	14910
1437	38090	14886
1438	38119	14861
1439	38147	14834
1440	38174	14808
1441	38198	14781
1442	38228	14756
1443	38249	14727
1444	38278	14702
1445	38306	14676
1446	38331	14649
1447	38360	14623
1448	38384	14596
1449	38407	14568
1450	38430	14540
1451	38459	14514
1452	38488	14489
1453	38516	14463
1454	38548	14439
1455	38577	14413
1456	38604	14387
1457	38632	14361
1458	38657	14334
1459	38686	14308
1460	38708	14280
1461	38740	14256
1462	38767	14229
1463	38796	14204
1464	38824	14178
1465	38843	14149
1466	38862	14119
1467	38891	14094
1468	38913	14066
1469	38939	14039
1470	38965	14012
1471	38997	13988
1472	39026	13962
1473	39054	13936
1474	39083	13911
1475	39111	13885
1476	39136	13858
1477	39172	13834
1478	39201	13809
1479	39228	13782
1480	39257	13757
1481	39283	13730
1482	39315	13706
1483	39338	13678
1484	39369	13653
1485	39395	13626
1486	39422	13600
1487	39451	13574
1488	39475	13547
1489	39508	13522
1490	39526	13493
1491	39550	13466
1492	39576	13439
1493	39600	13412
1494	39625	13385
1495	39648	13357
1496	39678	13332
1497	39702	13304
1498	39727	13277
1499	39753	13251
1500	39773	13222
1501	39796	13194
1502	39815	13165
1503	39836	13137
1504	39864	13111
1505	39895	13086
1506	39924	13060
1507	39950	13034
1508	39980	13008
1509	40010	12983
1510	40034	12956
1511	40059	12929
1512	40087	12903
1513	40115	12877
1514	40142	12850
1515	40167	12823
1516	40194	12797
1517	40220	12771
1518	40241	12742
1519	40266	12715
1520	40294	12689
1521	40322	12663
1522	40353	12638
1523	40379	12611
1524	40406	12585
1525	40436	12560
1526	40461	12533
1527	40485	12506
1528	40505	12477
1529	40528	12449
1530	40553	12422
1531	40573	12394
1532	40604	12369
1533	40630	12342
1534	40657	12316
1535	40679	12288
1536	40700	12260
1537	40728	12234
1538	40754	12207
1539	40780	12181
1540	40801	12153
1541	40831	12127
1542	40857	12101
1543	40878	12073
1544	40906	12046
1545	40932	12020
1546	40957	11993
1547	40977	11965
1548	40994	11935
1549	41018	11908
1550	41043	11881
1551	41070	11855
1552	41098	11829
1553	41121	11802
1554	41145	11774
1555	41166	11746
1556	41187	11718
1557	41210	11691
1558	41234	11664
1559	41256	11636
1560	41285	11610
1561	41313	11584
1562	41337	11557
1563	41358	11529
1564	41382	11502
1565	41407	11475
1566	41427	11447
1567	41447	11419
1568	41472	11392
1569	41497	11365
1570	41528	11340
1571	41555	11314
1572	41578	11286
1573	41602	11259
1574	41628	11233
1575	41654	11206
1576	41678	11179
1577	41703	11152
1578	41730	11126
1579	41759	11100
1580	41785	11074
1581	41812	11047
1582	41838	11021
1583	41863	10994
1584	41888	10967
1585	41919	10942
1586	41942	10915
1587	41968	10888
1588	41999	10863
1589	42025	10836
1590	42053	10810
1591	42079	10784
1592	42105	10757
1593	42133	10731
1594	42160	10705
1595	42188	10679
1596	42215	10653
1597	42243	10626
1598	42270	10600
1599	42295	10573
1600	42307	10543
1601	42331	10516
1602	42358	10490
1603	42385	10464
1604	42405	10436
1605	42429	10409
1606	42453	10382
1607	42479	10355
1608	42503	10328
1609	42530	10302
1610	42551	10274
1611	42578	10248
1612	42598	10220
1613	42623	10193
1614	42653	10168
1615	42680	10141
1616	42698	10113
1617	42723	10086
1618	42749	10060
1619	42775	10033
1620	42804	10007
1621	42830	9981
1622	42856	9954
1623	42881	9928
1624	42909	9902
1625	42941	9877
1626	42964	9849
1627	42987	9822
1628	43016	9796
1629	43037	9769
1630	43061	9742
1631	43085	9715
1632	43110	9688
1633	43137	9662
1634	43168	9636
1635	43193	9610
1636	43222	9584
1637	43246	9557
1638	43269	9530
1639	43292	9503
1640	43318	9476
1641	43342	9449
1642	43366	9422
1643	43396	9397
1644	43422	9370
1645	43446	9343
1646	43475	9317
1647	43500	9291
1648	43525	9264
1649	43550	9238
1650	43575	9211
1651	43596	9183
1652	43622	9157
1653	43650	9131
1654	43679	9105
1655	43703	9078
1656	43734	9052
1657	43758	9026
1658	43783	8999
1659	43809	8972
1660	43841	8947
1661	43872	8922
1662	43896	8895
1663	43923	8869
